train_type,batch_size,accuracy
increasing,1,0.9326923076923077
increasing,2,0.9313725490196079
increasing,3,0.93
increasing,4,0.9285714285714286
increasing,5,0.9270833333333334
increasing,6,0.925531914893617
increasing,7,0.9239130434782609
increasing,8,0.9333333333333333
increasing,9,0.9318181818181818
rolling,1,0.9326923076923077
rolling,2,0.9313725490196079
rolling,3,0.93
rolling,4,0.9285714285714286
rolling,5,0.9270833333333334
rolling,6,0.925531914893617
rolling,7,0.9239130434782609
rolling,8,0.9333333333333333
rolling,9,0.9318181818181818
