train_type,batch_size,test_batch,clean_correct,dirty_correct
rolling,1,0,False,True
rolling,1,1,False,True
rolling,1,2,False,True
rolling,1,3,False,True
rolling,1,4,False,True
rolling,1,5,False,True
rolling,1,6,False,True
rolling,1,7,False,True
rolling,1,8,False,True
rolling,1,9,False,True
rolling,1,10,False,True
rolling,1,11,False,True
rolling,1,12,False,True
rolling,1,13,False,True
rolling,1,14,False,True
rolling,1,15,False,True
rolling,1,16,False,True
rolling,1,17,False,True
rolling,1,18,False,True
rolling,1,19,False,True
rolling,1,20,False,True
rolling,1,21,False,True
rolling,1,22,False,True
rolling,1,23,False,True
rolling,1,24,False,True
rolling,1,25,False,True
rolling,1,26,False,True
rolling,1,27,False,True
rolling,1,28,False,True
rolling,1,29,False,True
rolling,1,30,False,True
rolling,1,31,False,True
rolling,1,32,False,True
rolling,1,33,False,True
rolling,1,34,False,True
rolling,1,35,False,True
rolling,1,36,False,True
rolling,1,37,False,True
rolling,1,38,False,True
rolling,1,39,False,True
rolling,1,40,False,True
rolling,1,41,False,True
rolling,1,42,False,True
rolling,1,43,False,True
rolling,1,44,False,True
rolling,1,45,False,True
rolling,1,46,False,True
rolling,1,47,False,True
rolling,1,48,False,True
rolling,1,49,False,True
rolling,1,50,False,True
rolling,1,51,False,True
rolling,2,0,True,True
rolling,2,1,False,True
rolling,2,2,True,True
rolling,2,3,False,True
rolling,2,4,False,True
rolling,2,5,True,True
rolling,2,6,False,True
rolling,2,7,True,True
rolling,2,8,False,True
rolling,2,9,True,True
rolling,2,10,False,True
rolling,2,11,False,True
rolling,2,12,False,True
rolling,2,13,False,True
rolling,2,14,False,True
rolling,2,15,True,True
rolling,2,16,False,True
rolling,2,17,False,True
rolling,2,18,False,True
rolling,2,19,False,True
rolling,2,20,False,True
rolling,2,21,True,True
rolling,2,22,True,True
rolling,2,23,False,True
rolling,2,24,True,True
rolling,2,25,False,True
rolling,2,26,False,True
rolling,2,27,True,True
rolling,2,28,False,True
rolling,2,29,False,True
rolling,2,30,True,True
rolling,2,31,False,True
rolling,2,32,False,True
rolling,2,33,False,True
rolling,2,34,False,True
rolling,2,35,False,True
rolling,2,36,False,True
rolling,2,37,False,True
rolling,2,38,False,True
rolling,2,39,True,True
rolling,2,40,False,True
rolling,2,41,False,True
rolling,2,42,False,True
rolling,2,43,False,True
rolling,2,44,True,True
rolling,2,45,False,True
rolling,2,46,False,True
rolling,2,47,False,True
rolling,2,48,False,True
rolling,2,49,False,True
rolling,2,50,True,True
rolling,3,0,True,True
rolling,3,1,True,True
rolling,3,2,True,True
rolling,3,3,False,True
rolling,3,4,True,True
rolling,3,5,False,True
rolling,3,6,True,True
rolling,3,7,True,True
rolling,3,8,True,True
rolling,3,9,True,True
rolling,3,10,True,True
rolling,3,11,False,True
rolling,3,12,False,True
rolling,3,13,False,True
rolling,3,14,True,True
rolling,3,15,True,True
rolling,3,16,True,True
rolling,3,17,True,True
rolling,3,18,False,True
rolling,3,19,False,True
rolling,3,20,True,True
rolling,3,21,True,True
rolling,3,22,True,True
rolling,3,23,True,True
rolling,3,24,True,True
rolling,3,25,False,True
rolling,3,26,True,True
rolling,3,27,True,True
rolling,3,28,False,True
rolling,3,29,True,True
rolling,3,30,True,True
rolling,3,31,False,True
rolling,3,32,False,True
rolling,3,33,True,True
rolling,3,34,True,True
rolling,3,35,True,True
rolling,3,36,True,True
rolling,3,37,False,True
rolling,3,38,True,True
rolling,3,39,True,True
rolling,3,40,False,True
rolling,3,41,True,True
rolling,3,42,True,True
rolling,3,43,True,True
rolling,3,44,True,True
rolling,3,45,True,True
rolling,3,46,False,True
rolling,3,47,True,True
rolling,3,48,True,True
rolling,3,49,True,True
rolling,4,0,True,True
rolling,4,1,True,True
rolling,4,2,True,True
rolling,4,3,True,True
rolling,4,4,True,True
rolling,4,5,True,True
rolling,4,6,True,True
rolling,4,7,True,True
rolling,4,8,True,True
rolling,4,9,True,True
rolling,4,10,True,True
rolling,4,11,True,True
rolling,4,12,True,True
rolling,4,13,True,True
rolling,4,14,True,True
rolling,4,15,True,True
rolling,4,16,True,True
rolling,4,17,True,True
rolling,4,18,False,True
rolling,4,19,True,True
rolling,4,20,True,True
rolling,4,21,True,True
rolling,4,22,True,True
rolling,4,23,True,True
rolling,4,24,True,True
rolling,4,25,True,True
rolling,4,26,True,True
rolling,4,27,True,True
rolling,4,28,True,True
rolling,4,29,True,True
rolling,4,30,True,True
rolling,4,31,False,True
rolling,4,32,True,True
rolling,4,33,True,True
rolling,4,34,True,True
rolling,4,35,True,True
rolling,4,36,False,True
rolling,4,37,True,True
rolling,4,38,True,True
rolling,4,39,True,True
rolling,4,40,True,True
rolling,4,41,True,True
rolling,4,42,True,True
rolling,4,43,True,True
rolling,4,44,True,True
rolling,4,45,False,True
rolling,4,46,True,True
rolling,4,47,True,True
rolling,4,48,True,True
rolling,5,0,True,True
rolling,5,1,True,True
rolling,5,2,True,True
rolling,5,3,True,True
rolling,5,4,True,True
rolling,5,5,True,True
rolling,5,6,True,True
rolling,5,7,True,True
rolling,5,8,True,True
rolling,5,9,True,True
rolling,5,10,True,True
rolling,5,11,True,True
rolling,5,12,True,True
rolling,5,13,True,True
rolling,5,14,True,True
rolling,5,15,True,True
rolling,5,16,True,True
rolling,5,17,True,True
rolling,5,18,True,True
rolling,5,19,True,True
rolling,5,20,True,True
rolling,5,21,True,True
rolling,5,22,True,True
rolling,5,23,True,True
rolling,5,24,True,True
rolling,5,25,True,True
rolling,5,26,True,True
rolling,5,27,True,True
rolling,5,28,True,True
rolling,5,29,True,True
rolling,5,30,True,True
rolling,5,31,True,True
rolling,5,32,True,True
rolling,5,33,True,True
rolling,5,34,True,True
rolling,5,35,False,True
rolling,5,36,True,True
rolling,5,37,True,True
rolling,5,38,True,True
rolling,5,39,True,True
rolling,5,40,True,True
rolling,5,41,True,True
rolling,5,42,True,True
rolling,5,43,True,True
rolling,5,44,True,True
rolling,5,45,True,True
rolling,5,46,True,True
rolling,5,47,True,True
rolling,6,0,True,True
rolling,6,1,True,True
rolling,6,2,True,True
rolling,6,3,True,True
rolling,6,4,True,True
rolling,6,5,True,True
rolling,6,6,True,True
rolling,6,7,True,True
rolling,6,8,True,True
rolling,6,9,True,True
rolling,6,10,True,True
rolling,6,11,True,True
rolling,6,12,True,True
rolling,6,13,True,True
rolling,6,14,True,True
rolling,6,15,True,True
rolling,6,16,True,True
rolling,6,17,True,True
rolling,6,18,True,True
rolling,6,19,True,True
rolling,6,20,True,True
rolling,6,21,True,True
rolling,6,22,True,True
rolling,6,23,True,True
rolling,6,24,True,True
rolling,6,25,True,True
rolling,6,26,True,True
rolling,6,27,True,True
rolling,6,28,True,True
rolling,6,29,True,True
rolling,6,30,True,True
rolling,6,31,True,True
rolling,6,32,True,True
rolling,6,33,True,True
rolling,6,34,True,True
rolling,6,35,True,True
rolling,6,36,True,True
rolling,6,37,True,True
rolling,6,38,True,True
rolling,6,39,True,True
rolling,6,40,True,True
rolling,6,41,True,True
rolling,6,42,True,True
rolling,6,43,True,True
rolling,6,44,True,True
rolling,6,45,True,True
rolling,6,46,True,True
rolling,7,0,True,True
rolling,7,1,True,True
rolling,7,2,True,True
rolling,7,3,True,True
rolling,7,4,True,True
rolling,7,5,True,True
rolling,7,6,True,True
rolling,7,7,True,True
rolling,7,8,True,True
rolling,7,9,True,True
rolling,7,10,True,True
rolling,7,11,True,True
rolling,7,12,True,True
rolling,7,13,True,True
rolling,7,14,True,True
rolling,7,15,True,True
rolling,7,16,True,True
rolling,7,17,True,True
rolling,7,18,True,True
rolling,7,19,True,True
rolling,7,20,True,True
rolling,7,21,True,True
rolling,7,22,True,True
rolling,7,23,True,True
rolling,7,24,True,True
rolling,7,25,True,True
rolling,7,26,True,True
rolling,7,27,True,True
rolling,7,28,True,True
rolling,7,29,True,True
rolling,7,30,True,True
rolling,7,31,True,True
rolling,7,32,True,True
rolling,7,33,True,True
rolling,7,34,True,True
rolling,7,35,True,True
rolling,7,36,True,True
rolling,7,37,True,True
rolling,7,38,True,True
rolling,7,39,True,True
rolling,7,40,True,True
rolling,7,41,True,True
rolling,7,42,True,True
rolling,7,43,True,True
rolling,7,44,True,True
rolling,7,45,True,True
rolling,8,0,True,True
rolling,8,1,True,True
rolling,8,2,True,True
rolling,8,3,True,True
rolling,8,4,True,True
rolling,8,5,True,True
rolling,8,6,True,True
rolling,8,7,True,True
rolling,8,8,True,True
rolling,8,9,True,True
rolling,8,10,True,True
rolling,8,11,True,True
rolling,8,12,True,True
rolling,8,13,True,True
rolling,8,14,True,True
rolling,8,15,True,True
rolling,8,16,True,True
rolling,8,17,True,True
rolling,8,18,True,True
rolling,8,19,True,True
rolling,8,20,True,True
rolling,8,21,True,True
rolling,8,22,True,True
rolling,8,23,True,True
rolling,8,24,True,True
rolling,8,25,True,True
rolling,8,26,True,True
rolling,8,27,True,True
rolling,8,28,True,True
rolling,8,29,True,True
rolling,8,30,True,True
rolling,8,31,True,True
rolling,8,32,True,True
rolling,8,33,True,True
rolling,8,34,True,True
rolling,8,35,True,True
rolling,8,36,True,True
rolling,8,37,True,True
rolling,8,38,True,True
rolling,8,39,True,True
rolling,8,40,True,True
rolling,8,41,True,True
rolling,8,42,True,True
rolling,8,43,True,True
rolling,8,44,True,True
rolling,9,0,True,True
rolling,9,1,True,True
rolling,9,2,True,True
rolling,9,3,True,True
rolling,9,4,True,True
rolling,9,5,True,True
rolling,9,6,True,True
rolling,9,7,True,True
rolling,9,8,True,True
rolling,9,9,True,True
rolling,9,10,True,True
rolling,9,11,True,True
rolling,9,12,True,True
rolling,9,13,True,True
rolling,9,14,True,True
rolling,9,15,True,True
rolling,9,16,True,True
rolling,9,17,True,True
rolling,9,18,True,True
rolling,9,19,True,True
rolling,9,20,True,True
rolling,9,21,True,True
rolling,9,22,True,True
rolling,9,23,True,True
rolling,9,24,True,True
rolling,9,25,True,True
rolling,9,26,True,True
rolling,9,27,True,True
rolling,9,28,True,True
rolling,9,29,True,True
rolling,9,30,True,True
rolling,9,31,True,True
rolling,9,32,True,True
rolling,9,33,True,True
rolling,9,34,True,True
rolling,9,35,True,True
rolling,9,36,True,True
rolling,9,37,True,True
rolling,9,38,True,True
rolling,9,39,True,True
rolling,9,40,True,True
rolling,9,41,True,True
rolling,9,42,True,True
rolling,9,43,True,True
increasing,1,0,False,True
increasing,1,1,True,True
increasing,1,2,True,True
increasing,1,3,True,True
increasing,1,4,True,True
increasing,1,5,True,True
increasing,1,6,True,True
increasing,1,7,True,True
increasing,1,8,True,True
increasing,1,9,True,True
increasing,1,10,True,True
increasing,1,11,True,True
increasing,1,12,True,True
increasing,1,13,True,True
increasing,1,14,True,True
increasing,1,15,True,True
increasing,1,16,True,True
increasing,1,17,True,True
increasing,1,18,True,True
increasing,1,19,True,True
increasing,1,20,True,True
increasing,1,21,True,True
increasing,1,22,True,True
increasing,1,23,True,True
increasing,1,24,True,True
increasing,1,25,True,True
increasing,1,26,True,True
increasing,1,27,True,True
increasing,1,28,True,True
increasing,1,29,True,True
increasing,1,30,True,True
increasing,1,31,True,True
increasing,1,32,True,True
increasing,1,33,True,True
increasing,1,34,True,True
increasing,1,35,True,True
increasing,1,36,True,True
increasing,1,37,True,True
increasing,1,38,True,True
increasing,1,39,True,True
increasing,1,40,True,True
increasing,1,41,True,True
increasing,1,42,True,True
increasing,1,43,True,True
increasing,1,44,True,True
increasing,1,45,True,True
increasing,1,46,True,True
increasing,1,47,True,True
increasing,1,48,True,True
increasing,1,49,True,True
increasing,1,50,True,True
increasing,1,51,True,True
increasing,2,0,True,True
increasing,2,1,True,True
increasing,2,2,True,True
increasing,2,3,True,True
increasing,2,4,True,True
increasing,2,5,True,True
increasing,2,6,True,True
increasing,2,7,True,True
increasing,2,8,True,True
increasing,2,9,True,True
increasing,2,10,True,True
increasing,2,11,True,True
increasing,2,12,True,True
increasing,2,13,True,True
increasing,2,14,True,True
increasing,2,15,True,True
increasing,2,16,True,True
increasing,2,17,True,True
increasing,2,18,True,True
increasing,2,19,True,True
increasing,2,20,True,True
increasing,2,21,True,True
increasing,2,22,True,True
increasing,2,23,True,True
increasing,2,24,True,True
increasing,2,25,True,True
increasing,2,26,True,True
increasing,2,27,True,True
increasing,2,28,True,True
increasing,2,29,True,True
increasing,2,30,True,True
increasing,2,31,True,True
increasing,2,32,True,True
increasing,2,33,True,True
increasing,2,34,True,True
increasing,2,35,True,True
increasing,2,36,True,True
increasing,2,37,True,True
increasing,2,38,True,True
increasing,2,39,True,True
increasing,2,40,True,True
increasing,2,41,True,True
increasing,2,42,True,True
increasing,2,43,True,True
increasing,2,44,True,True
increasing,2,45,True,True
increasing,2,46,True,True
increasing,2,47,True,True
increasing,2,48,True,True
increasing,2,49,True,True
increasing,2,50,True,True
increasing,3,0,True,True
increasing,3,1,True,True
increasing,3,2,True,True
increasing,3,3,True,True
increasing,3,4,True,True
increasing,3,5,True,True
increasing,3,6,True,True
increasing,3,7,True,True
increasing,3,8,True,True
increasing,3,9,True,True
increasing,3,10,True,True
increasing,3,11,True,True
increasing,3,12,True,True
