train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,7,0,True,False
increasing,7,1,True,False
increasing,7,2,True,False
increasing,7,3,True,False
increasing,7,4,False,False
increasing,7,5,True,False
increasing,7,6,True,False
increasing,7,7,True,False
increasing,7,8,True,False
increasing,7,9,True,False
increasing,7,10,True,True
increasing,7,11,True,False
increasing,7,12,True,False
increasing,7,13,False,False
increasing,7,14,True,False
increasing,7,15,True,False
increasing,7,16,True,False
increasing,7,17,False,True
increasing,7,18,True,False
increasing,7,19,True,False
increasing,7,20,True,False
increasing,7,21,True,False
increasing,7,22,True,False
increasing,7,23,True,False
increasing,7,24,True,False
increasing,7,25,True,False
increasing,7,26,True,False
increasing,7,27,True,False
increasing,7,28,True,False
increasing,7,29,True,False
increasing,7,30,True,False
increasing,7,31,True,False
increasing,7,32,True,False
increasing,7,33,True,False
increasing,7,34,True,False
increasing,7,35,True,False
increasing,7,36,True,False
increasing,7,37,True,False
increasing,7,38,False,False
increasing,7,39,True,False
increasing,7,40,True,False
increasing,7,41,True,False
increasing,7,42,True,False
increasing,7,43,True,False
increasing,7,44,True,False
increasing,7,45,True,False
