train_type,batch_size,accuracy
increasing,1,0.8833333333333333
increasing,2,0.896551724137931
increasing,3,0.8928571428571429
increasing,4,0.9074074074074074
increasing,5,0.9038461538461539
increasing,6,0.9
increasing,7,0.9166666666666666
increasing,8,0.9347826086956522
increasing,9,0.9545454545454546
rolling,1,0.5
rolling,2,0.7068965517241379
rolling,3,0.75
rolling,4,0.7962962962962963
rolling,5,0.8269230769230769
rolling,6,0.84
rolling,7,0.8541666666666666
rolling,8,0.8913043478260869
rolling,9,0.9090909090909091
