,train_type,batch_size,test_batch,clean_correct,dirty_correct
0,rolling,1,,,
1,rolling,1,1,False,True
2,rolling,1,2,False,True
3,rolling,1,3,False,True
4,rolling,1,4,False,True
5,rolling,1,5,False,True
6,rolling,1,6,False,True
7,rolling,1,7,False,True
8,rolling,1,8,False,True
9,rolling,1,9,False,True
10,rolling,1,10,False,True
11,rolling,1,11,False,True
12,rolling,1,12,False,True
13,rolling,1,13,False,True
14,rolling,1,14,False,True
15,rolling,1,15,False,True
16,rolling,1,16,False,True
17,rolling,1,17,False,True
18,rolling,1,18,False,True
19,rolling,1,19,False,True
20,rolling,1,20,False,True
21,rolling,1,21,False,True
22,rolling,1,22,False,True
23,rolling,1,23,False,True
24,rolling,1,24,False,True
25,rolling,1,25,False,True
26,rolling,1,26,False,True
27,rolling,1,27,False,True
28,rolling,1,28,False,True
29,rolling,1,29,False,True
30,rolling,2,,,
31,rolling,2,,,
32,rolling,2,2,True,True
33,rolling,2,3,False,True
34,rolling,2,4,False,True
35,rolling,2,5,True,True
36,rolling,2,6,False,True
37,rolling,2,7,True,True
38,rolling,2,8,True,True
39,rolling,2,9,False,True
40,rolling,2,10,True,True
41,rolling,2,11,False,True
42,rolling,2,12,True,True
43,rolling,2,13,True,True
44,rolling,2,14,False,True
45,rolling,2,15,True,True
46,rolling,2,16,True,True
47,rolling,2,17,False,True
48,rolling,2,18,False,True
49,rolling,2,19,True,True
50,rolling,2,20,False,True
51,rolling,2,21,True,True
52,rolling,2,22,False,True
53,rolling,2,23,False,True
54,rolling,2,24,False,True
55,rolling,2,25,False,True
56,rolling,2,26,False,True
57,rolling,2,27,True,True
58,rolling,2,28,False,True
59,rolling,3,,,
60,rolling,3,,,
61,rolling,3,,,
62,rolling,3,3,False,True
63,rolling,3,4,True,True
64,rolling,3,5,False,True
65,rolling,3,6,True,True
66,rolling,3,7,True,True
67,rolling,3,8,True,True
68,rolling,3,9,True,True
69,rolling,3,10,False,True
70,rolling,3,11,True,True
71,rolling,3,12,True,True
72,rolling,3,13,True,True
73,rolling,3,14,True,True
74,rolling,3,15,True,True
75,rolling,3,16,True,True
76,rolling,3,17,False,True
77,rolling,3,18,True,True
78,rolling,3,19,True,True
79,rolling,3,20,True,True
80,rolling,3,21,True,True
81,rolling,3,22,True,True
82,rolling,3,23,False,True
83,rolling,3,24,False,True
84,rolling,3,25,True,True
85,rolling,3,26,True,True
86,rolling,3,27,True,True
87,rolling,4,,,
88,rolling,4,,,
89,rolling,4,,,
90,rolling,4,,,
91,rolling,4,4,False,True
92,rolling,4,5,True,True
93,rolling,4,6,True,True
94,rolling,4,7,True,True
95,rolling,4,8,True,True
96,rolling,4,9,False,True
97,rolling,4,10,True,True
98,rolling,4,11,True,True
99,rolling,4,12,True,True
100,rolling,4,13,True,True
101,rolling,4,14,True,True
102,rolling,4,15,True,True
103,rolling,4,16,False,True
104,rolling,4,17,True,True
105,rolling,4,18,True,True
106,rolling,4,19,True,True
107,rolling,4,20,True,True
108,rolling,4,21,True,True
109,rolling,4,22,True,True
110,rolling,4,23,False,True
111,rolling,4,24,True,True
112,rolling,4,25,True,True
113,rolling,4,26,True,True
114,rolling,5,,,
115,rolling,5,,,
116,rolling,5,,,
117,rolling,5,,,
118,rolling,5,,,
119,rolling,5,5,True,True
120,rolling,5,6,True,True
121,rolling,5,7,True,True
122,rolling,5,8,False,True
123,rolling,5,9,True,True
124,rolling,5,10,True,True
125,rolling,5,11,True,True
126,rolling,5,12,True,True
127,rolling,5,13,True,True
128,rolling,5,14,True,True
129,rolling,5,15,False,True
130,rolling,5,16,True,True
131,rolling,5,17,True,True
132,rolling,5,18,True,True
133,rolling,5,19,True,True
134,rolling,5,20,True,True
135,rolling,5,21,True,True
136,rolling,5,22,False,True
137,rolling,5,23,True,True
138,rolling,5,24,True,True
139,rolling,5,25,True,True
140,rolling,6,,,
141,rolling,6,,,
142,rolling,6,,,
143,rolling,6,,,
144,rolling,6,,,
145,rolling,6,,,
146,rolling,6,6,True,True
147,rolling,6,7,False,True
148,rolling,6,8,True,True
149,rolling,6,9,True,True
150,rolling,6,10,True,True
151,rolling,6,11,True,True
152,rolling,6,12,True,True
153,rolling,6,13,True,True
154,rolling,6,14,False,True
155,rolling,6,15,True,True
156,rolling,6,16,True,True
157,rolling,6,17,True,True
158,rolling,6,18,True,True
159,rolling,6,19,True,True
160,rolling,6,20,True,True
161,rolling,6,21,True,True
162,rolling,6,22,True,True
163,rolling,6,23,True,True
164,rolling,6,24,True,True
165,rolling,7,,,
166,rolling,7,,,
167,rolling,7,,,
168,rolling,7,,,
169,rolling,7,,,
170,rolling,7,,,
171,rolling,7,,,
172,rolling,7,7,True,True
173,rolling,7,8,True,True
174,rolling,7,9,True,True
175,rolling,7,10,True,True
176,rolling,7,11,True,True
177,rolling,7,12,True,True
178,rolling,7,13,True,True
179,rolling,7,14,True,True
180,rolling,7,15,True,True
181,rolling,7,16,True,True
182,rolling,7,17,True,True
183,rolling,7,18,True,True
184,rolling,7,19,True,True
185,rolling,7,20,True,True
186,rolling,7,21,True,True
187,rolling,7,22,True,True
188,rolling,7,23,True,True
189,rolling,8,,,
190,rolling,8,,,
191,rolling,8,,,
192,rolling,8,,,
193,rolling,8,,,
194,rolling,8,,,
195,rolling,8,,,
196,rolling,8,,,
197,rolling,8,8,True,True
198,rolling,8,9,True,True
199,rolling,8,10,True,True
200,rolling,8,11,True,True
201,rolling,8,12,True,True
202,rolling,8,13,True,True
203,rolling,8,14,True,True
204,rolling,8,15,True,True
205,rolling,8,16,True,True
206,rolling,8,17,True,True
207,rolling,8,18,True,True
208,rolling,8,19,True,True
209,rolling,8,20,True,True
210,rolling,8,21,True,True
211,rolling,8,22,True,True
212,rolling,9,,,
213,rolling,9,,,
214,rolling,9,,,
215,rolling,9,,,
216,rolling,9,,,
217,rolling,9,,,
218,rolling,9,,,
219,rolling,9,,,
220,rolling,9,,,
221,rolling,9,9,True,True
222,rolling,9,10,True,True
223,rolling,9,11,True,True
224,rolling,9,12,True,True
225,rolling,9,13,True,True
226,rolling,9,14,True,True
227,rolling,9,15,True,True
228,rolling,9,16,True,True
229,rolling,9,17,True,True
230,rolling,9,18,True,True
231,rolling,9,19,True,True
232,rolling,9,20,True,True
233,rolling,9,21,True,True
234,increasing,1,,,
235,increasing,1,1,False,True
236,increasing,1,2,True,True
237,increasing,1,3,True,True
238,increasing,1,4,True,True
239,increasing,1,5,True,True
240,increasing,1,6,True,True
241,increasing,1,7,True,True
242,increasing,1,8,True,True
243,increasing,1,9,True,True
244,increasing,1,10,True,True
245,increasing,1,11,True,True
246,increasing,1,12,False,True
247,increasing,1,13,True,True
248,increasing,1,14,True,True
249,increasing,1,15,True,True
250,increasing,1,16,True,True
251,increasing,1,17,True,True
252,increasing,1,18,True,True
253,increasing,1,19,True,True
254,increasing,1,20,True,True
255,increasing,1,21,True,True
256,increasing,1,22,True,True
257,increasing,1,23,True,True
258,increasing,1,24,True,True
259,increasing,1,25,True,True
260,increasing,1,26,True,True
261,increasing,1,27,True,True
262,increasing,1,28,True,True
263,increasing,1,29,True,True
264,increasing,2,,,
265,increasing,2,,,
266,increasing,2,2,True,True
267,increasing,2,3,True,True
268,increasing,2,4,True,True
269,increasing,2,5,True,True
270,increasing,2,6,True,True
271,increasing,2,7,True,True
272,increasing,2,8,True,True
273,increasing,2,9,True,True
274,increasing,2,10,True,True
275,increasing,2,11,False,True
276,increasing,2,12,True,True
277,increasing,2,13,True,True
