train_type,batch_size,test_batch,clean_correct,dirty_correct
rolling,1,0,True,True
rolling,1,1,True,True
rolling,1,2,True,True
rolling,1,3,True,True
rolling,1,4,True,True
rolling,1,5,True,True
rolling,1,6,True,True
rolling,1,7,True,True
rolling,1,8,True,True
rolling,1,9,True,True
rolling,1,10,True,True
rolling,1,11,True,True
rolling,1,12,True,True
rolling,1,13,True,True
rolling,1,14,True,True
rolling,1,15,True,True
rolling,1,16,True,True
rolling,1,17,True,True
rolling,1,18,True,True
rolling,1,19,True,True
rolling,1,20,True,True
rolling,1,21,True,True
rolling,1,22,True,True
rolling,1,23,True,True
rolling,1,24,True,True
rolling,1,25,True,True
rolling,1,26,True,True
rolling,1,27,True,True
rolling,1,28,True,True
rolling,1,29,True,True
rolling,2,0,True,True
rolling,2,1,True,True
rolling,2,2,True,True
rolling,2,3,True,True
rolling,2,4,True,True
rolling,2,5,True,True
rolling,2,6,True,True
rolling,2,7,True,True
rolling,2,8,True,True
rolling,2,9,True,True
rolling,2,10,True,True
rolling,2,11,True,True
rolling,2,12,True,True
rolling,2,13,True,True
rolling,2,14,True,True
rolling,2,15,True,True
rolling,2,16,True,True
rolling,2,17,True,True
rolling,2,18,True,True
rolling,2,19,True,True
rolling,2,20,True,True
rolling,2,21,True,True
rolling,2,22,True,True
rolling,2,23,True,True
rolling,2,24,True,True
rolling,2,25,True,True
rolling,2,26,True,True
rolling,2,27,True,True
rolling,2,28,True,True
rolling,3,0,True,True
rolling,3,1,True,True
rolling,3,2,True,True
rolling,3,3,True,True
rolling,3,4,True,True
rolling,3,5,True,True
rolling,3,6,True,True
rolling,3,7,True,True
rolling,3,8,True,True
rolling,3,9,True,True
rolling,3,10,True,True
rolling,3,11,True,True
rolling,3,12,True,True
rolling,3,13,True,True
rolling,3,14,True,True
rolling,3,15,True,True
rolling,3,16,True,True
rolling,3,17,True,True
rolling,3,18,True,True
rolling,3,19,True,True
rolling,3,20,True,True
rolling,3,21,True,True
rolling,3,22,True,True
rolling,3,23,True,True
rolling,3,24,True,True
rolling,3,25,True,True
rolling,3,26,True,True
rolling,3,27,True,True
rolling,4,0,True,True
rolling,4,1,True,True
rolling,4,2,True,True
rolling,4,3,True,True
rolling,4,4,True,True
rolling,4,5,True,True
rolling,4,6,True,True
rolling,4,7,True,True
rolling,4,8,True,True
rolling,4,9,True,True
rolling,4,10,True,True
rolling,4,11,True,True
rolling,4,12,True,True
rolling,4,13,True,True
rolling,4,14,True,True
rolling,4,15,True,True
rolling,4,16,True,True
rolling,4,17,True,True
rolling,4,18,True,True
rolling,4,19,True,True
rolling,4,20,True,True
rolling,4,21,True,True
rolling,4,22,True,True
rolling,4,23,True,True
rolling,4,24,True,True
rolling,4,25,True,True
rolling,4,26,True,True
rolling,5,0,True,True
rolling,5,1,True,True
rolling,5,2,True,True
rolling,5,3,True,True
rolling,5,4,True,True
rolling,5,5,True,True
rolling,5,6,True,True
rolling,5,7,True,True
rolling,5,8,True,True
rolling,5,9,True,True
rolling,5,10,True,True
rolling,5,11,True,True
rolling,5,12,True,True
rolling,5,13,True,True
rolling,5,14,True,True
rolling,5,15,True,True
rolling,5,16,True,True
rolling,5,17,True,True
rolling,5,18,True,True
rolling,5,19,True,True
rolling,5,20,True,True
rolling,5,21,True,True
rolling,5,22,True,True
rolling,5,23,True,True
