train_type,batch_size,accuracy
increasing,1,0.95
increasing,2,0.9655172413793104
increasing,3,0.9821428571428571
increasing,4,0.9814814814814815
increasing,5,0.9807692307692307
increasing,6,0.98
increasing,7,0.9791666666666666
increasing,8,0.9782608695652174
increasing,9,0.9772727272727273
rolling,1,0.5
rolling,2,0.7241379310344828
rolling,3,0.8928571428571429
rolling,4,0.9259259259259259
rolling,5,0.9230769230769231
rolling,6,0.96
rolling,7,0.9791666666666666
rolling,8,0.9782608695652174
rolling,9,0.9772727272727273
